",""text"",""favorited"",""favoriteCount"",""replyToSN"",""created"",""truncated"",""replyToSID"",""id"",""replyToUID"",""statusSource"",""screenName"",""retweetCount"",""isRetweet"",""retweeted"",""longitude"",""latitude""";;;
"1,""American Harem.. #MeToo https://t.co/HjExLJdGuF"",FALSE,0,NA,""11/29/17 23:59"",FALSE,NA,9.36e+17,NA,""<a href=""""http://instagram.com"""" rel=""""nofollow"""">Instagram</a>"",""ahmediaTV"",0,FALSE,FALSE,NA,NA";;;
"2,""@johnconyersjr  @alfranken  why have you guys not resigned yet? Liberal hypocrisy! #MeToo"",FALSE,0,""johnconyersjr"",""11/29/17 23:59"",FALSE,NA,9.36e+17,266149840,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""JesusPrepper74"",0,FALSE,FALSE,NA,NA";;;
"3,""Watched Megan Kelly ask Joe Keery this A.M. if she can """"rub my fingers through your hair"""", and refer to his body be https://t.co/Q86wfW7DeJ"",FALSE,0,NA,""11/29/17 23:59"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""DemerisePotvin"",0,FALSE,FALSE,NA,NA";;;
"4,""Women have been talking about this crap the entire time, finally someone listened. #metoo https://t.co/JlK11yhFXc"",FALSE,0,NA,""11/29/17 23:59"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""TheDawnStott"",0,FALSE,FALSE,NA,NA";;;
"5,"".@BetteMidler please speak to this sexual assault by @GeraldoRivera during the interview. #MeToo  https://t.co/1iuafGaOmv"",FALSE,15,NA,""11/29/17 23:59"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/#!/download/ipad"""" rel=""""nofollow"""">Twitter for iPad</a>"",""scottygirl2014"",11,FALSE,FALSE,NA,NA";;;
"6,""We can't keep turning a blind eye and pretend this isn't real. #metoo https://t.co/1dLZcftbSs"",FALSE,0,NA,""11/29/17 23:59"",FALSE,NA,9.36e+17,NA,""<a href=""""http://instagram.com"""" rel=""""nofollow"""">Instagram</a>"",""ForEverBrenn"",0,FALSE,FALSE,NA,NA";;;
"7,""Jay-Z is saying what I've been saying. DJT's jobis done. The dialogues have begun:";;;
 racism;;;
#metoo ;;;
morality;;;
"hum https://t.co/KJtQBEoonR"",FALSE,3,NA,""11/29/17 23:59"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""silveriaalison"",3,FALSE,FALSE,NA,NA";;;
"8,""Where in the world is @MattLauer Celebrate #MeToo"",FALSE,0,NA,""11/29/17 23:59"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""calrican"",0,FALSE,FALSE,NA,NA";;;
"9,""@JoyAnnReid Keep it coming ladies!  #MeToo"",FALSE,0,""JoyAnnReid"",""11/29/17 23:59"",FALSE,9.36e+17,9.36e+17,49698134,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""traugott_sarah"",0,FALSE,FALSE,NA,NA";;;
"10,""@RepAdamSmith Workplace is one place, but what about our HOMES?! Who protects Citizens when HOA/COA Boards &amp";" Attorn https://t.co/NUSlhUoAEx"",FALSE,1,""RepAdamSmith"",""11/29/17 23:58"",TRUE,9.36e+17,9.36e+17,58928690,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""SchifanoRaelene"",0,FALSE,FALSE,NA,NA";;
"11,""Is it just me or does the #MeToo &lt";#NAZWA?; from a distance, look similar to a pink vagina?;
"Just me? Never mind."",FALSE,13,NA,""11/29/17 23:58"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""BrunusCutis"",2,FALSE,FALSE,NA,NA";;;
"12,""Just  got scammed out of  $25.  Bought #TigerWoods DVD entitled """"My Favorite 18 Holes"""".  It's about golf. Pass this https://t.co/R107kLw0AT"",FALSE,2,NA,""11/29/17 23:58"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""RDonSteele"",1,FALSE,FALSE,NA,NA";;;
"13,""@RepKathleenRice @RepJayapal Calling out @RepJohnConyers is right with the arc of history.";;;
;;;
You know it, I know it;" https://t.co/M2RCDYeWdG"",FALSE,0,""RepKathleenRice"",""11/29/17 23:58"",TRUE,9.36e+17,9.36e+17,2970462034,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""_standeliver"",0,FALSE,FALSE,NA,NA";;
"14,""#BlackLivesMatter with #MeToo yup ok"",FALSE,0,NA,""11/29/17 23:58"",FALSE,NA,9.36e+17,NA,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Lite</a>"",""dbehan79"",0,FALSE,FALSE,NA,NA";;;
"15,""Why are not the men haters from #Metoo marching on congress to ask to  #UnsealTheDeals ?";;;
"Are they protecting their male democrat friends?"",FALSE,0,NA,""11/29/17 23:58"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""european_4"",0,FALSE,FALSE,NA,NA";;;
"16,""I was sexually harassed as a """"young Intern"""" for a major Cable News Network. As a mother now of daughters, it is a h https://t.co/D75xCbRhj4"",FALSE,1,NA,""11/29/17 23:57"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""FrancescaBiller"",3,FALSE,FALSE,NA,NA";;;
"17,""So I have a question. This post was published today, on @CTmagazine, one of the largest Christian publications. And https://t.co/JRuFz0DNQd"",FALSE,35,NA,""11/29/17 23:57"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""emilyjoypoetry"",7,FALSE,FALSE,NA,NA";;;
"18,""Im pretty sure @DanRather and Brian Williams are laughing at the Matt Lauer situation saying were not so mad now https://t.co/ccwpfqJpcx"",FALSE,0,NA,""11/29/17 23:57"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""frozenjo"",1,FALSE,FALSE,NA,NA";;;
"19,""Aint trying to start nothing but wouldnt it be something if white men started a #MeToo campaign against racist wh https://t.co/BbUHRSl1z0"",FALSE,1,NA,""11/29/17 23:57"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""num1_fan"",0,FALSE,FALSE,NA,NA";;;
